domain,problem_number,MCP_time,MCP_plan_length,HSP_time,HSP_plan_length
domain,1,187.0,6,16.0,6
domain,2,62.0,10,0.0,10
domain,3,46.0,6,0.0,6
domain,4,79.0,16,0.0,12
domain,5,77.0,14,16.0,10
domain,6,4797.0,36,0.0,16
domain,7,109.0,12,15.0,12
domain,8,141.0,16,16.0,10
domain,9,3021.0,64,30.0,20
domain,10,469.0,36,15.0,20
_domain,1,125.0,16,32.0,9
_domain,2,265.0,22,672.0,13
_domain,3,234.0,24,38946.0,17
cs_domain,1,234.0,27,16.0,20
cs_domain,2,235.0,28,46.0,19
cs_domain,3,156.0,23,32.0,15
cs_domain,4,406.0,44,125.0,27
cs_domain,5,187.0,22,30.0,17
